title,pubDate,link
"b'Tubelight BO report: Salman Khan yet to cross 50cr-mark, earns Rs 42.32cr in two...'","b'Sun, 25 Jun 2017 07:23:12 GMT '",b'http://www.hindustantimes.com/bollywood/tubelight-bo-report-salman-khan-yet-to-cross-50cr-mark-earns-rs-42-32cr-in-two-days/story-1jCuChH1fQJqLjMCvE36UP.html'
b'Kidambi Srikanth outclasses Olympic champ Chen Long to win Australian&thinsp;Open',"b'Sun, 25 Jun 2017 06:33:25 GMT '",b'http://www.hindustantimes.com/other-sports/kidambi-srikanth-outclasses-olympic-champ-chen-long-to-win-australian-open/story-1cXIAlEEFRTUX6aP67v7SJ.html'
"b'At least 123 killed, 100 injured as oil tanker explodes in central Pakistan; PM&thinsp;Sharif...'","b'Sun, 25 Jun 2017 06:27:38 GMT '",b'http://www.hindustantimes.com/world-news/at-least-100-people-killed-as-oil-tanker-explodes-in-pakistan/story-jRARKnqVrohzdRMgghTFDN.html'
"b""Salman Khan, SRK attend Baba Siddiqui's Iftar party, but separately. See pics and...""","b'Sun, 25 Jun 2017 05:14:45 GMT '",b'http://www.hindustantimes.com/bollywood/salman-khan-srk-attend-baba-siddiqui-s-iftar-party-but-separately-see-pics-and-videos/story-x7tNImi1zgTsn7Wa1PKsaI.html'
"b'Malayalam actress kidnapping case takes another mysterious turn, actor Dileep linked...'","b'Sun, 25 Jun 2017 05:14:38 GMT '",b'http://www.hindustantimes.com/regional-movies/malayalam-actress-kidnapping-case-takes-another-mysterious-turn-actor-dileep-linked-to-crime/story-H6F6F7L199nGvsPUM6VPPN.html'
"b""Will GST untangle India's tax regime? How the new system might impact consumers...""","b'Sun, 25 Jun 2017 04:34:07 GMT '",b'http://www.hindustantimes.com/business-news/will-gst-untangle-india-s-tax-regime/story-dr4StLB60KATOvi5sU4EaP.html'
"b""Jr NTR not part of Nag Ashwin's Savitri biopic, Mahanati""","b'Sat, 24 Jun 2017 08:55:08 GMT '",b'http://www.hindustantimes.com/regional-movies/jr-ntr-not-part-of-nag-ashwin-s-savitri-biopic-mahanati/story-JWd27lt6ElMyAYytIxfHMO.html'
"b'Tubelight BO report, day one: Salman Khan shines with Rs 21.15cr, his third highest...'","b'Sat, 24 Jun 2017 08:16:22 GMT '",b'http://www.hindustantimes.com/bollywood/tubelight-bo-report-day-one-salman-khan-shines-with-rs-21-15cr-his-third-highest-opening/story-ROD03fgUeJxW0obNhYwXtM.html'
"b""Lady Bee gives an international twist to Badshah's Mercy""","b'Sat, 24 Jun 2017 06:59:34 GMT '",b'http://www.hindustantimes.com/music/lady-bee-gives-an-international-twist-to-badshah-s-mercy/story-F0x8V15e6JClZWUrwjO28H.html'
"b'My health has been much better this Ramazan, could not fast due to medication: Dilip...'","b'Sat, 24 Jun 2017 06:12:42 GMT '",b'http://www.hindustantimes.com/bollywood/my-health-has-been-much-better-this-ramazan-could-not-fast-due-to-medication-dilip-kumar/story-BkS4Ha0AbXOgG4kh8D6W0N.html'
"b""Mumbai cops issue `proclaimed offender' notice to Mamta Kulkarni""","b'Sat, 24 Jun 2017 05:35:42 GMT '",b'http://www.hindustantimes.com/bollywood/mumbai-cops-issue-proclaimed-offender-notice-to-mamta-kulkarni/story-9MzqTPOY8kEwnAOCFpj7bL.html'
b'Govinda is the surprise package in Jagga Jasoos? See pic',"b'Sat, 24 Jun 2017 05:35:40 GMT '",b'http://www.hindustantimes.com/bollywood/govinda-is-the-surprise-package-in-jagga-jasoos-see-pic/story-Z0oe3bWdvquaHKXIpbHNQN.html'
b'Add colour to your personality: Disha Patani offers five fashion tips for college...',"b'Sat, 24 Jun 2017 04:42:32 GMT '",b'http://www.hindustantimes.com/fashion-and-trends/add-colour-to-your-personality-disha-patani-offers-five-fashion-tips-for-college-kids/story-hM6MaaqAYx0HwRzDWlncrL.html'
"b""Jab Harry Met Sejal: Will clear word 'intercourse' if get 1 lakh votes in favour,...""","b'Sat, 24 Jun 2017 02:45:33 GMT '",b'http://www.hindustantimes.com/bollywood/jab-harry-met-sejal-will-clear-word-intercourse-if-get-1-lakh-votes-in-favour-says-cbfc-chief/story-98BddaAEoApAe8y1tYYDDM.html'
"b'Tubelight:&thinsp;I was expecting minus 3 and minus 4, pleased to get ratings like 1, says...'","b'Sat, 24 Jun 2017 02:45:28 GMT '",b'http://www.hindustantimes.com/bollywood/tubelight-i-was-expecting-minus-3-and-minus-4-pleased-to-get-ratings-like-1-says-salman-khan/story-L71tx7Ohw5jCCb5zGU8pFI.html'
